ID,IS_NEW_APPLICANT,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
1,1,10000,2,1,2,46,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,30000,1,2,2,48,0,0,1,0,-1,0,10337.54,20319.85,4994.61,5597.53,8237.32,16701.25,6186.66,20214.42,3781.41,5459.74,6405.79,9876.04
3,0,15000,2,1,1,43,0,0,-1,2,-1,0,8548.21,2775.51,2220.45,4257.81,1506.16,2932.7,5618.96,1588.91,1869.31,3718.87,1126.98,1888.47
4,0,30000,1,2,1,29,0,0,0,-1,3,0,14445.37,9741.47,14648.62,14026.08,16419.28,7951.48,8657.78,5769.54,11957.58,9933.0,13078.18,5964.5
5,0,15000,2,1,1,43,1,0,-1,-1,0,-1,3004.82,3896.21,5835.29,6042.49,3841.27,4702.39,2419.27,2057.23,4384.61,5275.97,2638.62,4878.85
6,0,10000,2,3,1,53,0,1,-1,1,1,0,4897.01,5025.1,6893.4,4497.42,3480.2,3088.18,3823.74,3596.55,5803.72,2438.06,3415.84,2370.87
7,0,5000,2,2,2,24,0,0,0,0,3,2,1184.32,730.57,2299.07,2321.23,1677.12,1320.44,797.49,607.07,1198.12,1924.1,1368.42,868.44
8,0,50000,2,1,2,50,-1,0,-1,-1,1,0,7874.34,34959.54,30542.96,9538.68,15842.99,6167.31,7526.21,19760.88,28040.75,8748.92,11196.33,5827.77
9,0,100000,2,1,1,51,0,0,1,0,-1,-1,38211.07,22423.83,41357.41,24021.07,31700.02,10865.54,34253.75,17785.34,21180.7,18667.6,20812.66,10908.79
10,0,50000,1,2,1,39,0,0,-1,0,0,0,26221.18,21896.78,14378.71,14406.26,32160.13,17593.89,24453.16,21233.15,11510.57,12493.22,16524.79,11225.56
11,1,100000,2,2,1,46,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,100000,1,1,1,31,-1,0,0,1,-1,0,22011.43,17446.65,17666.51,11402.34,37689.44,49547.51,12014.33,13272.95,15424.57,8316.58,24212.87,49616.49
13,0,5000,1,1,1,46,-1,1,0,-1,0,0,638.47,1077.57,2917.83,1251.92,2637.81,906.71,423.34,804.21,2432.43,1236.9,2088.31,908.15
14,0,30000,2,1,2,52,-1,-1,3,-1,0,0,5897.61,18404.2,9428.0,8497.0,17567.08,4186.5,4905.64,15709.39,8455.94,5677.4,13967.07,4335.43
15,1,30000,1,1,2,40,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,50000,1,1,1,38,-1,0,0,1,1,0,9584.38,24602.03,32488.47,10296.32,7278.13,8400.09,5269.76,15911.61,21641.65,5541.08,3860.84,5525.06
