ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
1,100000,1,2,3,46,4,3,-2,-1,-1,-2,53919.89,51169.71,45389.02,34977.12,54441.81,21511.42,28930.71,31566.65,20687.58,3456.64,35578.73,11622.97
2,20000,1,1,1,41,0,-2,0,0,-1,1,-122.87,8401.02,10562.24,7534.85,13270.84,3352.81,427.1,721.62,6787.96,5279.55,1076.95,1365.9
3,150000,1,2,1,59,0,2,0,0,1,0,77914.48,68678.17,21930.72,8401.04,117679.33,-3574.27,65079.25,74586.39,5512.76,5377.44,89341.11,320.93
4,30000,2,3,2,56,0,0,0,1,0,1,-373.78,18487.73,10149.9,8327.09,14344.28,23274.09,412.96,3311.51,2764.26,3440.89,1392.78,3185.09
5,100000,1,1,2,53,-2,-1,-1,-1,0,0,45002.42,35876.83,11177.61,49686.04,42530.71,13763.37,44537.43,10500.7,6246.4,18927.85,22248.96,14140.92
6,10000,1,4,3,50,-2,0,0,2,-1,2,7994.5,-153.59,-55.12,6133.4,4840.02,5739.25,7619.82,448.36,449.45,5277.49,4965.37,5268.92
7,100000,1,2,1,57,0,1,-2,0,0,-1,42243.56,8939.96,27170.5,13462.77,40277.45,59820.69,22401.92,6454.68,19032.19,1894.83,9000.57,11152.16
8,150000,2,4,2,43,0,0,2,0,0,4,52834.29,48422.42,38775.39,10072.42,73473.86,110980.32,24342.25,13845.72,14045.33,3007.86,33751.39,71386.27
9,30000,1,2,2,30,-1,4,-2,3,0,1,6477.8,16983.08,23884.75,15407.57,9970.98,-720.99,2180.48,4059.14,11986.66,12619.9,8139.84,337.79
10,20000,1,1,3,25,3,0,0,4,-1,-1,1048.88,9085.74,6587.99,-968.04,2713.53,13824.82,577.42,1299.11,1509.95,58.82,2649.41,8991.66
11,150000,2,2,1,56,1,0,4,-1,1,0,85705.52,75412.51,35030.12,15242.5,7831.52,59721.34,8278.77,11950.95,4496.51,2810.53,5908.8,59874.22
12,150000,1,2,1,54,-1,0,0,0,0,4,17056.38,53608.06,66510.56,-3793.4,1213.47,73149.37,16114.92,35590.62,57985.96,159.83,389.62,76085.07
13,10000,1,2,1,51,3,1,3,3,-1,0,479.9,4733.81,254.52,918.52,1738.18,4978.0,41.84,3657.43,83.65,425.39,1318.13,2456.66
14,50000,1,2,1,30,4,0,-1,0,0,-1,15424.91,11483.24,38370.79,5206.07,-539.75,32341.41,6100.61,5365.52,9080.63,4785.74,243.93,14430.07
15,30000,1,2,1,39,4,-2,1,-2,2,0,18781.22,10489.66,14691.48,8385.68,12962.85,7001.89,19310.27,5810.14,11403.51,7355.07,10426.68,7233.91
16,5000,1,2,1,52,-2,-2,0,1,3,0,2916.52,2913.19,2958.06,1459.89,956.27,2865.47,2397.3,2243.93,2067.55,1030.17,1005.74,2174.6
17,150000,2,2,1,21,0,-1,0,1,0,0,-502.47,103658.68,14235.94,103968.47,97628.19,59893.71,380.05,7074.58,10176.55,59179.39,78831.16,10291.17
18,50000,2,1,2,25,0,-2,-2,1,0,0,16843.61,15930.35,14902.81,19179.66,655.24,31219.25,5310.48,6201.48,4326.87,20685.81,626.43,2947.3
19,5000,2,2,2,24,0,-2,-1,1,3,0,1970.35,-64.44,1546.43,2824.47,711.99,3959.82,109.03,266.13,455.08,571.15,37.17,2545.61
20,30000,1,1,1,36,4,0,-1,1,0,-1,14935.94,2622.65,19456.06,1155.5,17121.28,3616.6,11657.5,1728.64,5483.55,937.59,13756.1,3713.09
21,3000,1,3,1,44,0,0,0,-1,-2,0,1507.93,-96.8,-146.85,424.87,1376.96,2386.35,152.64,44.81,56.98,106.54,1268.27,2234.72
22,50000,1,2,2,36,1,0,1,-1,3,0,12999.63,25263.68,10286.26,27375.1,240.88,1317.02,7919.8,15103.05,7596.5,11091.74,22.3,1000.46
23,250000,2,4,1,22,2,3,0,0,-1,-1,106643.9,58116.86,196012.73,-1279.16,173913.38,-12007.52,113066.86,23815.49,184333.64,46.52,167857.3,291.1
24,3000,1,2,1,48,1,0,-2,3,0,3,1076.71,1233.32,1060.96,1090.82,2087.02,-37.39,177.6,750.92,859.94,1139.24,666.86,495.1
25,10000,1,3,1,52,0,0,2,0,-1,0,7022.49,3692.85,2751.47,4594.64,2308.47,2405.15,6946.67,672.2,2425.97,4896.62,1728.02,2331.28
26,100000,2,3,1,47,-1,1,0,0,-2,0,40072.54,1929.75,5185.47,46182.38,23934.5,48797.04,43721.11,365.4,2463.3,11183.81,21310.62,11806.33
27,20000,1,1,2,40,0,0,0,0,0,1,6497.55,5855.44,15560.8,-610.14,15813.48,173.5,744.57,1175.3,11464.88,189.51,11793.66,59.4
28,250000,2,2,1,44,2,-1,-1,0,1,0,73453.16,34369.24,-8244.4,55947.95,120562.44,-11296.01,71767.53,35634.4,55.4,45094.52,17710.51,322.3
29,10000,2,2,2,32,-1,-1,0,0,0,1,4365.64,3056.4,5766.03,4910.17,4016.19,7465.27,2583.95,2504.85,3469.88,2400.53,2715.5,5672.96
30,30000,2,3,2,55,0,0,-1,2,-1,0,19001.41,3691.25,18099.3,2299.49,19872.88,19459.13,19036.36,813.92,10058.08,329.48,12461.54,20260.48
31,10000,1,2,1,53,-1,0,0,0,-1,-2,4076.41,6643.85,1571.08,5411.03,1924.97,6378.06,2649.2,1646.12,370.35,4155.36,1915.99,2120.17
32,100000,1,1,1,53,0,-1,1,0,0,0,51240.69,9806.43,52082.47,58403.64,31480.52,70176.06,38185.46,8015.49,23772.14,36348.14,14935.99,38539.07
33,30000,1,3,1,63,2,2,-2,0,4,0,17315.32,22999.9,869.69,23540.21,5328.31,16350.87,10752.26,4921.34,923.62,25412.66,2062.78,11708.15
34,250000,1,3,2,57,2,1,0,0,0,0,98035.72,75880.32,42122.54,32091.42,155196.68,9685.88,93890.53,22482.53,13100.5,9267.36,129952.9,10649.04
35,100000,1,2,1,32,-1,-2,-1,0,0,-1,31279.45,66930.85,61971.67,65136.11,43734.69,28923.52,25668.09,71048.05,11805.23,30886.03,21137.37,4629.17
36,5000,1,1,1,23,3,0,0,0,2,-1,3475.83,2422.25,3424.92,1961.26,2550.01,2823.39,2076.19,770.45,1676.53,1215.34,1857.43,1619.21
37,20000,1,3,2,21,0,-2,0,0,0,0,6097.6,11500.96,9344.27,5348.86,3289.22,3765.69,5863.26,8564.93,8221.6,4713.87,2397.09,1711.04
38,250000,2,2,1,53,0,0,0,-2,-1,0,85662.86,150641.33,95203.17,13505.06,34297.88,133573.85,26345.6,162325.5,62953.63,8457.96,33695.64,128112.17
39,5000,1,2,1,60,0,0,0,-1,0,0,3958.95,1895.59,427.04,2875.9,1825.59,-145.88,852.0,839.77,326.7,1994.57,1238.89,263.63
40,250000,2,3,1,30,0,1,0,0,0,0,-12449.53,102951.36,910.67,37619.74,144232.72,52554.18,92.73,7041.03,226.92,10813.96,83259.97,8751.66
41,30000,1,2,1,63,0,0,0,0,0,0,3229.56,11606.89,1500.05,7971.26,11893.61,12502.82,1294.11,3555.82,1049.88,7487.12,2328.95,8953.84
42,5000,1,3,2,64,0,1,0,0,0,0,1381.85,2249.25,716.27,15.8,-111.26,2436.38,415.42,2074.76,279.11,7.9,415.34,2093.63
43,20000,1,1,1,49,-1,4,0,0,1,0,14854.03,-500.29,4808.47,12623.24,13765.38,8809.69,15249.07,257.59,4452.73,2499.5,2918.78,467.14
44,100000,2,2,2,33,0,-2,0,0,0,1,952.52,28618.79,27377.31,60160.02,498.39,54309.28,153.48,24524.74,19458.8,44963.44,114.85,51697.25
45,150000,2,2,1,32,0,1,0,-1,0,0,-6290.61,69789.06,36656.03,86036.02,114367.62,-6723.68,123.77,11777.97,9486.55,23822.94,82318.49,168.67
46,10000,2,1,2,51,0,0,0,2,0,1,-52.19,4580.65,1531.97,2045.27,-286.29,358.0,279.21,4055.18,180.54,311.78,499.86,225.42
47,3000,2,1,1,22,0,0,0,0,0,0,75.79,1872.04,1149.8,292.37,1620.85,2065.81,73.95,1899.39,108.96,279.24,983.03,1005.2
48,20000,1,4,1,55,0,0,2,0,1,0,-360.85,10135.16,13029.86,9838.41,397.52,10589.73,80.41,6898.4,5732.86,5245.55,365.9,8531.47
49,5000,2,2,3,43,0,1,0,0,0,4,1789.07,3966.57,938.74,1858.71,3620.38,229.96,963.85,4116.98,308.98,1555.27,3949.21,101.12
50,150000,1,2,2,37,1,0,-1,4,0,-1,66546.54,28691.45,112654.34,15227.19,51715.24,99864.49,64751.45,26343.94,82056.82,5407.43,47113.27,96194.6
51,20000,1,4,2,46,1,1,0,1,0,-2,3618.68,5105.57,13846.72,10660.49,1337.9,3117.93,200.48,3830.81,7952.18,9341.99,1043.06,2547.41
52,5000,2,4,1,28,0,3,0,0,0,1,1442.72,1381.35,437.5,3962.29,1198.47,1782.6,1314.24,906.23,144.08,663.81,730.01,1301.47
53,50000,2,2,1,49,0,0,3,1,0,-2,1397.22,17297.04,30916.73,29256.83,4505.05,3670.85,405.27,7195.61,6390.48,12398.23,2348.46,3252.57
54,50000,2,3,1,46,-1,4,-2,-1,0,1,11795.74,33029.92,21919.96,28949.42,4749.73,27679.68,11844.53,7175.81,4023.62,31177.51,658.37,23298.66
55,20000,2,1,2,30,0,0,-1,-1,0,0,7882.83,3008.47,8631.78,15155.32,15117.84,10336.53,403.41,2061.41,8268.33,13392.59,7095.36,906.88
56,50000,2,2,1,46,0,0,0,0,1,3,28621.55,30480.01,14119.32,6124.8,16422.96,6472.28,18145.8,11704.85,4315.6,3504.11,16515.61,3006.19
57,5000,2,3,2,54,-2,0,0,0,-1,0,-235.78,1472.57,1879.9,2153.59,3102.41,3419.45,197.77,1413.31,1380.4,876.01,2787.28,3512.96
58,5000,2,3,1,61,0,-2,2,1,0,0,1736.07,2307.89,1438.01,3913.5,2468.32,1455.55,558.36,2522.53,1295.96,3779.43,683.36,264.93
59,20000,2,3,3,27,0,0,-2,-1,-2,3,4049.05,9753.19,8175.45,1810.0,10499.25,3972.76,1023.56,8193.16,5680.18,1125.98,5668.95,3273.36
60,150000,1,2,1,24,1,0,1,0,1,0,101234.78,40038.2,72563.63,81782.12,9290.91,11922.02,14001.09,5805.77,69120.01,69215.99,8432.05,12796.16
61,100000,2,3,2,31,4,0,-2,0,0,4,55822.03,38572.29,52315.82,44793.86,14905.68,17624.28,21924.4,13620.64,24170.61,37708.06,1799.92,1847.18
62,250000,2,3,1,49,0,3,1,0,2,-1,112685.56,75269.12,100652.25,112126.81,154684.45,-7819.28,71874.97,12386.67,106090.82,7719.14,70654.01,464.33
63,150000,1,3,1,56,0,0,-2,0,0,0,27851.37,1314.43,84481.31,81453.01,116272.69,66865.33,4780.3,963.53,16034.74,14870.59,109811.8,36211.71
64,30000,2,3,2,45,-2,0,-2,0,1,0,21713.65,9647.72,2102.59,22205.23,5198.23,19976.88,9674.09,8233.85,330.65,16489.84,2464.44,13147.46
65,5000,1,2,1,41,3,0,0,0,4,0,-58.32,163.92,650.93,3075.97,904.17,2083.17,374.58,167.52,482.75,675.79,118.89,290.83
66,30000,1,2,1,56,3,1,4,0,1,-1,1291.42,8828.03,19377.74,-68.53,10558.88,4091.49,1174.69,4503.01,20152.32,36.34,6542.93,389.34
67,150000,2,2,3,30,0,0,2,0,2,1,42432.84,68097.1,33622.32,101222.82,117939.64,-3207.18,7844.61,67854.98,30237.48,105673.57,112612.26,280.44
68,250000,1,3,2,57,0,1,0,1,0,1,13942.98,110625.67,-7635.06,35427.53,44653.78,33108.47,4845.33,107504.45,305.97,22609.54,29909.09,30276.86
69,250000,1,4,1,29,-2,1,3,-2,0,4,190738.34,128307.02,20180.62,67594.26,73981.53,75925.8,13227.53,49148.71,6928.74,56661.97,21276.57,66140.19
70,3000,1,2,1,44,-1,-2,-2,0,0,-1,1884.87,92.92,420.22,1027.42,2123.27,1787.01,949.7,89.42,431.5,653.32,962.8,1109.73
71,250000,1,2,1,55,-1,-2,4,0,-1,0,42533.81,126076.19,190931.11,89692.53,-11879.28,27416.61,39646.94,56035.3,60279.12,56518.79,233.39,4245.74
72,100000,2,2,2,55,0,0,0,0,0,0,45027.11,21532.58,43708.52,31990.33,-1619.89,56182.27,20791.66,7788.61,38036.42,4762.06,17.23,43397.81
73,250000,1,2,1,56,4,0,0,0,0,0,196245.23,72297.26,185705.28,186687.58,115865.23,171723.36,46799.03,52887.5,170178.24,76699.91,98174.76,52201.04
74,150000,2,4,1,38,0,-1,1,1,0,0,105235.37,101893.25,65833.33,82517.42,108190.97,50378.22,88543.33,40227.48,37539.79,28596.61,16641.64,50711.83
75,3000,1,1,1,59,0,0,0,4,0,0,1382.04,-126.97,1072.35,1459.49,459.08,1944.65,1213.77,137.27,488.63,671.75,451.8,1808.87
76,150000,1,1,1,52,0,0,0,0,2,0,107724.81,67522.61,32500.28,-1145.14,52379.33,63218.81,25039.68,46612.44,16985.64,451.8,3295.98,50249.6
77,150000,1,2,2,44,3,0,0,-1,0,0,118621.08,68836.03,69812.3,107748.95,49934.33,73729.08,101942.58,44165.95,20127.79,47466.57,21898.95,77141.87
78,10000,1,1,1,43,4,0,1,0,0,0,5818.5,2871.61,683.18,7229.82,3520.26,3973.37,6078.37,1290.62,672.15,3790.46,277.37,329.76
79,3000,2,2,2,52,-2,0,-1,0,1,-2,15.72,454.42,2140.57,1839.54,1437.43,1031.09,3.53,284.43,1119.84,859.53,664.99,848.6
80,150000,2,3,1,57,0,0,4,0,4,-2,43701.48,22420.94,98239.88,-6603.78,52392.33,22418.31,37562.89,15163.5,95939.34,449.42,31545.59,8894.57
81,10000,1,3,1,32,-1,0,0,3,0,-2,6621.52,7011.53,2199.02,-13.12,3303.48,2077.15,5257.49,4367.98,353.99,325.38,1940.02,2079.99
82,10000,1,2,1,33,0,-1,-1,-1,1,4,1459.84,3257.21,7598.78,1414.4,3531.45,1964.75,798.9,1682.81,8265.11,361.22,790.73,648.39
83,3000,2,2,1,43,-1,0,0,-1,4,-2,1968.14,693.77,1954.26,184.94,1356.71,1286.39,218.1,45.37,1007.3,45.51,987.72,1043.39
84,30000,1,2,2,45,0,0,0,0,3,-1,1568.64,9943.83,15490.83,8670.32,12193.69,1558.82,201.46,6626.72,1552.53,1289.61,1183.0,1514.44
85,100000,1,2,2,55,0,2,0,0,-1,0,-1009.64,51898.18,5349.76,73422.96,67601.56,72927.29,410.72,11773.96,481.07,31168.38,57461.47,6836.18
86,250000,1,2,2,61,-1,0,1,0,0,1,69119.25,18473.27,89124.73,87812.84,-1981.92,140639.22,75316.19,13387.67,74287.03,74233.11,181.13,65753.05
87,100000,2,2,2,50,0,4,-2,-1,0,4,-1877.79,33201.88,38019.14,-3860.78,65831.95,29122.88,335.19,28132.34,28209.72,113.37,26777.62,24766.81
88,250000,2,4,1,37,0,0,0,3,-2,1,190919.93,112425.43,36917.16,47583.46,166833.98,21207.63,98945.44,64697.19,32938.86,17984.96,98949.46,11190.52
89,150000,2,2,2,40,0,-1,3,1,0,0,97841.23,113444.38,2695.59,-1814.15,28825.77,104954.0,71419.43,70276.73,433.01,64.42,12909.79,34699.39
90,5000,1,3,1,45,0,1,0,-2,0,0,3153.27,823.24,3051.08,-95.78,1717.12,3251.06,2125.67,863.62,266.51,206.38,97.95,912.88
91,3000,1,2,2,42,-2,0,0,0,1,-2,1455.93,766.09,161.19,553.09,968.27,1690.39,659.23,719.76,94.14,548.56,440.73,317.95
92,100000,2,2,1,33,0,0,0,1,-1,4,13387.54,27245.48,45514.71,18427.05,13573.34,18081.5,1591.88,27516.53,20799.08,10986.21,11962.27,17177.17
93,100000,2,2,1,39,0,-2,0,0,2,1,39052.13,46470.74,74598.18,61905.76,28727.73,29207.96,35638.53,42030.67,39913.33,32189.95,19413.86,19105.6
